key	type	applies_to	transferrable	unique_to_world	unique_to_faction	precedence	start_date	end_date	avatar_skill	avatar_special_ability	legendary_item	mp_exclusive	is_wife_ancillary	category	min_starting_age	max_starting_age	min_expiry_age	max_expiry_age	immortal	provided_bodyguard_unit	provided_banner	uniqueness_score	turns_before_swap_allowed	subcategory	randomly_dropped	can_be_stolen	can_be_destroyed	faction_set
#ancillaries_tables;0;db/ancillaries_tables/zzz_sm0_rd_mounts																												
wh2_dlc09_anc_mount_tmb_arkhan_skeletal_steed	wh2_dlc09_anc_mount_skeleton_steed_tmb	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_arkhan_1		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_arkhan_skeleton_chariot	wh2_dlc09_anc_mount_skeleton_chariot	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_arkhan_2		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_khalida_necroserpent	wh2_dlc09_anc_mount_necroserpent	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_khalida_1		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_khalida_skeleton_chariot	wh2_dlc09_anc_mount_skeleton_chariot	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_khalida_2		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_khatep_casket_of_souls	wh2_dlc09_anc_mount_casket_of_souls	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_khatep_3		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_khatep_skeletal_steed	wh2_dlc09_anc_mount_skeleton_steed_tmb	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_khatep_1		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_khatep_skeleton_chariot	wh2_dlc09_anc_mount_skeleton_chariot	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_khatep_2		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_liche_priest_death_skeletal_steed	wh2_dlc09_anc_mount_skeleton_steed_tmb	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_liche_priest_death_1		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_liche_priest_light_skeletal_steed	wh2_dlc09_anc_mount_skeleton_steed_tmb	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_liche_priest_light_1		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_liche_priest_nehekhara_skeletal_steed	wh2_dlc09_anc_mount_skeleton_steed_tmb	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_liche_priest_nehekhara_1		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_liche_priest_shadow_skeletal_steed	wh2_dlc09_anc_mount_skeleton_steed_tmb	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_liche_priest_nehekhara_1		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_necrotect_skeleton_chariot	wh2_dlc09_anc_mount_skeleton_chariot	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_necrotect_1		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_settra_chariot_of_the_gods	wh2_dlc09_anc_mount_chariot_of_the_gods	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_settra_2		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_settra_khemrian_warsphinx	wh2_dlc09_anc_mount_khemrian_warsphinx	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_settra_3		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_settra_skeletal_steed	wh2_dlc09_anc_mount_skeleton_steed_tmb	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_settra_1		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_tomb_king_khemrian_warsphinx	wh2_dlc09_anc_mount_khemrian_warsphinx	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_tomb_king_3		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_tomb_king_skeletal_steed	wh2_dlc09_anc_mount_skeleton_steed_tmb	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_tomb_king_1		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_tomb_king_skeleton_chariot	wh2_dlc09_anc_mount_skeleton_chariot	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_tomb_king_2		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_tomb_prince_skeletal_steed	wh2_dlc09_anc_mount_skeleton_steed_tmb	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_tomb_prince_1		1	0		false	false	true	all
wh2_dlc09_anc_mount_tmb_tomb_prince_skeleton_chariot	wh2_dlc09_anc_mount_skeleton_chariot	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc09_tmb_cha_tomb_prince_2		1	0		false	false	true	all
wh2_dlc10_anc_mount_def_crone_cauldron_of_blood	wh2_main_anc_mount_cauldron_of_blood	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc10_def_cha_crone_4		1	0		false	false	true	all
wh2_dlc10_anc_mount_def_crone_dark_steed	wh2_main_anc_mount_dark_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc10_def_cha_crone_1		1	0		false	false	true	all
wh2_dlc10_anc_mount_def_crone_manticore	wh_main_anc_mount_manticore	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc10_def_cha_crone_5		1	0		false	false	true	all
wh2_dlc10_anc_mount_def_sorceress_beasts_cold_one	wh2_main_anc_mount_cold_one	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc10_def_cha_sorceress_beasts_2		1	0		false	false	true	all
wh2_dlc10_anc_mount_def_sorceress_beasts_dark_pegasus	wh2_main_anc_mount_dark_pegasus	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc10_def_cha_sorceress_beasts_3		1	0		false	false	true	all
wh2_dlc10_anc_mount_def_sorceress_beasts_dark_steed	wh2_main_anc_mount_dark_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc10_def_cha_sorceress_beasts_1		1	0		false	false	true	all
wh2_dlc10_anc_mount_def_sorceress_death_cold_one	wh2_main_anc_mount_cold_one	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc10_def_cha_sorceress_death_2		1	0		false	false	true	all
wh2_dlc10_anc_mount_def_sorceress_death_dark_pegasus	wh2_main_anc_mount_dark_pegasus	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc10_def_cha_sorceress_death_3		1	0		false	false	true	all
