id	dilemma_key	option_key	value	target
#cdir_events_dilemma_option_junctions_tables;1;db/cdir_events_dilemma_option_junctions_tables/sm0_rd_delete_next_patch				
191706	sm0_rd_sc_bst	VAR_CHANCE	100	default
191707	sm0_rd_sc_wef	VAR_CHANCE	100	default
191708	sm0_rd_sc_brt	VAR_CHANCE	100	default
191709	sm0_rd_sc_chs	VAR_CHANCE	100	default
191710	sm0_rd_sc_dwf	VAR_CHANCE	100	default
191711	sm0_rd_sc_emp	VAR_CHANCE	100	default
191712	sm0_rd_sc_grn	VAR_CHANCE	100	default
191714	sm0_rd_sc_ksl	VAR_CHANCE	100	default
191715	sm0_rd_sc_nor	VAR_CHANCE	100	default
191716	sm0_rd_sc_teb	VAR_CHANCE	100	default
191717	sm0_rd_sc_vmp	VAR_CHANCE	100	default
191718	sm0_rd_sc_cst	VAR_CHANCE	100	default
191719	sm0_rd_sc_def	VAR_CHANCE	100	default
191720	sm0_rd_sc_hef	VAR_CHANCE	100	default
191721	sm0_rd_sc_lzd	VAR_CHANCE	100	default
191722	sm0_rd_sc_skv	VAR_CHANCE	100	default
191723	sm0_rd_sc_bst	GEN_TARGET_NONE		default
191724	sm0_rd_sc_wef	GEN_TARGET_NONE		default
191725	sm0_rd_sc_brt	GEN_TARGET_NONE		default
191726	sm0_rd_sc_chs	GEN_TARGET_NONE		default
191727	sm0_rd_sc_dwf	GEN_TARGET_NONE		default
191728	sm0_rd_sc_emp	GEN_TARGET_NONE		default
191729	sm0_rd_sc_grn	GEN_TARGET_NONE		default
191731	sm0_rd_sc_ksl	GEN_TARGET_NONE		default
191732	sm0_rd_sc_nor	GEN_TARGET_NONE		default
191733	sm0_rd_sc_teb	GEN_TARGET_NONE		default
191734	sm0_rd_sc_vmp	GEN_TARGET_NONE		default
191735	sm0_rd_sc_cst	GEN_TARGET_NONE		default
191736	sm0_rd_sc_def	GEN_TARGET_NONE		default
191737	sm0_rd_sc_hef	GEN_TARGET_NONE		default
191738	sm0_rd_sc_lzd	GEN_TARGET_NONE		default
191739	sm0_rd_sc_skv	GEN_TARGET_NONE		default
191740	sm0_rd_rogue	VAR_CHANCE	100	default
191741	sm0_rd_rogue	GEN_TARGET_NONE		default
191832	sm0_rd_sc_tmb	VAR_CHANCE	100	default
191833	sm0_rd_sc_tmb	GEN_TARGET_NONE		default
194328	sm0_rd_sc_cth	VAR_CHANCE	100	default
194329	sm0_rd_sc_dae	VAR_CHANCE	100	default
194330	sm0_rd_sc_kho	VAR_CHANCE	100	default
194331	sm0_rd_sc_nur	VAR_CHANCE	100	default
194332	sm0_rd_sc_ogr	VAR_CHANCE	100	default
194333	sm0_rd_sc_sla	VAR_CHANCE	100	default
194334	sm0_rd_sc_tze	VAR_CHANCE	100	default
194335	sm0_rd_sc_cth	GEN_TARGET_NONE		default
194336	sm0_rd_sc_dae	GEN_TARGET_NONE		default
194337	sm0_rd_sc_kho	GEN_TARGET_NONE		default
194338	sm0_rd_sc_nur	GEN_TARGET_NONE		default
194339	sm0_rd_sc_ogr	GEN_TARGET_NONE		default
194340	sm0_rd_sc_sla	GEN_TARGET_NONE		default
194341	sm0_rd_sc_tze	GEN_TARGET_NONE		default
