key	text	tooltip
#Loc PackedFile;1;text/db/sm0_recruit_defeated_cdir_events_dilemma_choice_details__.loc		
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_bstFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_wefFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_brtFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_chsFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_dwfFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_empFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_grnFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_kslFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_norFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_tebFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_vmpFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_cstFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_defFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_hefFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_lzdFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_skvFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_rogueFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_tmbFIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_bstSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_wefSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_brtSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_chsSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_dwfSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_empSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_grnSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_kslSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_norSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_tebSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_vmpSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_cstSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_defSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_hefSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_lzdSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_skvSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_rogueSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_tmbSECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_bstTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_wefTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_brtTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_chsTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_dwfTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_empTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_grnTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_kslTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_norTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_tebTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_vmpTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_cstTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_defTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_hefTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_lzdTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_skvTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_rogueTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_tmbTHIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_bstFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_wefFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_brtFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_chsFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_dwfFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_empFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_grnFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_kslFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_norFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_tebFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_vmpFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_cstFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_defFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_hefFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_lzdFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_skvFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_rogueFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_sc_tmbFOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_bstFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_wefFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_brtFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_chsFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_dwfFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_empFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_grnFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_kslFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_norFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_tebFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_vmpFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_cstFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_defFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_hefFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_lzdFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_skvFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_rogueFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_tmbFIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_bstSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_wefSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_brtSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_chsSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_dwfSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_empSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_grnSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_kslSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_norSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_tebSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_vmpSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_cstSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_defSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_hefSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_lzdSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_skvSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_rogueSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_tmbSECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_sc_bstTHIRD	Put them out of their misery!	true
