key	text	tooltip
#Loc PackedFile;1;text/db/sm0_recruit_defeated_ll.loc		
event_feed_strings_text_title_event_legendary_lord_available	Legendary Lord available!	true
event_feed_strings_text_title_event_legendary_hero_available	Legendary Hero available!	true
event_feed_strings_text_description_event_wh2_dlc11_cst_harkon_LL_unlocked	With the Vampire Coast being defeated, the mad legendary Lord Luthor Harkon is willing to offer his services to other you, mighty Admiral, so he can enact his vengeance on those who destroyed his fleet!	true
event_feed_strings_text_description_event_wh2_dlc11_cst_noctilus_LL_unlocked	With The Dreadfleet being defeated, The Legendary Von Carstein, Lord Count Noctilus is offering his services to other you, mighty Admiral. Von Carstein or not, he will surely be a great asset!	true
event_feed_strings_text_description_event_wh2_dlc11_cst_cylostra_LL_unlocked	With The Drowned being defeated, The Legendary Lady Cylostra Direfin is offering her voice and services to you, mighty Admiral!	true
event_feed_strings_text_description_event_wh2_dlc11_cst_aranessa_LL_unlocked	With the Pirates of Sartosa being defeated, The Legendary Lord Aranessa Saltspite is reluctantly offering to join you, oh mighty Admiral!	true
event_feed_strings_text_title_event_wh2_dlc11_cst_harkon_LL_unlocked	Luthor Harkon	true
event_feed_strings_text_title_event_wh2_dlc11_cst_noctilus_LL_unlocked	Count Noctilus	true
event_feed_strings_text_title_event_wh2_dlc11_cst_cylostra_LL_unlocked	Cylostra Direfin	true
event_feed_strings_text_title_event_wh2_dlc11_cst_aranessa_LL_unlocked	Aranessa Saltspite	true
event_feed_strings_text_title_event_wh_dlc03_emp_boris_todbringer_LL_unlocked	Boris Todbringer	true
event_feed_strings_text_description_event_wh_dlc03_emp_boris_todbringer_LL_unlocked	With the province of Middenland being defeated, their Legendary Lord Boris Todbringer will be joining our ranks. For The Empire!	true
event_feed_strings_text_title_event_wh_dlc04_emp_volkmar_LL_unlocked	Volkmar the Grim	true
event_feed_strings_text_title_event_wh_main_emp_balthasar_gelt_LL_unlocked	Balthasar Gelt	true
event_feed_strings_text_title_event_wh_main_emp_karl_franz_LL_unlocked	Emperor Karl Franz	true
event_feed_strings_text_title_event_wh_dlc04_vmp_helman_ghorst_LL_unlocked	Helman Ghorst	true
event_feed_strings_text_title_event_wh_dlc04_vmp_vlad_con_carstein_LL_unlocked	Vlad von Carstein	true
event_feed_strings_text_title_event_wh_pro02_vmp_isabella_von_carstein_LL_unlocked	Isabella von Carstein	true
event_feed_strings_text_title_event_wh_main_vmp_heinrich_kemmler_LL_unlocked	Heinrich Kemmler	true
event_feed_strings_text_title_event_wh_main_vmp_mannfred_von_carstein_LL_unlocked	Mannfred von Carstein	true
event_feed_strings_text_title_event_wh_dlc05_vmp_red_duke_LL_unlocked	Red Duke	true
event_feed_strings_text_title_event_wh_main_dwf_thorgrim_grudgebearer_LL_unlocked	Thorgrim Grudgebearer	true
event_feed_strings_text_title_event_wh_main_dwf_ungrim_ironfist_LL_unlocked	Ungrim Ironfist	true
event_feed_strings_text_title_event_wh_dlc06_dwf_belegar_LL_unlocked	Belegar Ironhammer	true
event_feed_strings_text_title_event_wh_pro01_dwf_grombrindal_LL_unlocked	Grombrindal	true
event_feed_strings_text_title_event_wh_dlc06_grn_skarsnik_LL_unlocked	Skarsnik	true
event_feed_strings_text_title_event_wh_main_grn_azhag_the_slaughterer_LL_unlocked	Azhag the Slaughterer	true
event_feed_strings_text_title_event_wh_main_grn_grimgor_ironhide_LL_unlocked	Grimgor Ironhide	true
event_feed_strings_text_title_event_wh_dlc06_grn_wurrzag_da_great_prophet_LL_unlocked	Wurrzag	true
event_feed_strings_text_title_event_wh2_dlc09_tmb_arkhan_LL_unlocked	Arkhan the Black	true
event_feed_strings_text_title_event_wh2_dlc09_tmb_khalida_LL_unlocked	High Queen Khalida	true
event_feed_strings_text_title_event_wh2_dlc09_tmb_khatep_LL_unlocked	Grand Hierophant Khatep	true
event_feed_strings_text_title_event_wh2_dlc09_tmb_settra_LL_unlocked	Settra the Imperishable	true
event_feed_strings_text_title_event_wh_main_brt_louen_leoncouer_LL_unlocked	King Louen Leoncoeur	true
event_feed_strings_text_title_event_wh_dlc07_brt_alberic_LL_unlocked	Alberic de Bordeleaux	true
event_feed_strings_text_title_event_wh_dlc07_brt_fay_enchantress_LL_unlocked	The Fay Enchantress	true
event_feed_strings_text_title_event_wh2_main_hef_teclis_LL_unlocked	Teclis	true
event_feed_strings_text_title_event_wh2_main_hef_tyrion_LL_unlocked	Tyrion	true
event_feed_strings_text_title_event_wh2_dlc10_hef_alarielle_LL_unlocked	Alarielle the Radiant	true
event_feed_strings_text_title_event_wh2_dlc10_hef_alith_anar_LL_unlocked	Alith Anar	true
event_feed_strings_text_title_event_wh2_dlc11_def_lokhir_LL_unlocked	Lokhir Fellheart	true
event_feed_strings_text_title_event_wh2_main_def_malekith_LL_unlocked	Malekith	true
event_feed_strings_text_title_event_wh2_main_def_morathi_LL_unlocked	Morathi	true
event_feed_strings_text_description_event_wh_dlc04_emp_volkmar_LL_unlocked	With The Empire being defeated, The Legendary head of the Cult of Sigmar, Volkmar the Grim will be joining our ranks. For The Empire!	true
event_feed_strings_text_description_event_wh_main_emp_balthasar_gelt_LL_unlocked	With The Empire being defeated, The Legendary Supreme Patriarch of the Colleges of Magic, Balthasar Gelt will aid our efforts and join you. For The Empire!	true
event_feed_strings_text_description_event_wh_main_emp_karl_franz_LL_unlocked	With The Empire being defeated, The Legendary Emperor Karl Franz has fled to the other provinces and has humbly offered his service for the greater good of The Empire!	true
event_feed_strings_text_description_event_wh_dlc04_vmp_helman_ghorst_LL_unlocked	With the Vampire Counts of East Sylvania being defeated, The Legendary Necromancer Helman Ghorst is offering his services to those who will help him get vengeance for his family.	true
event_feed_strings_text_description_event_wh_dlc04_vmp_vlad_con_carstein_LL_unlocked	With the Von Carsteins of West Sylvania being defeated, The Legendary Vlad von Carstein, first of the Von Carsteins, is willing to join his brethren at another chance to consolidate his power!	true
event_feed_strings_text_description_event_wh_pro02_vmp_isabella_von_carstein_LL_unlocked	With the Von Carsteins of West Sylvania being defeated, Legendary Vampire Isabella von Carstein will accompany her love, Vlad von Carstein in joining their other brethren.	true
event_feed_strings_text_description_event_wh_main_vmp_mannfred_von_carstein_LL_unlocked	With the Vampire Counts of East Sylvania being defeated, Legendary Vampire Count Mannfred von Carstein has offered his service to his brethren, even if it means bowing to Vlad and his love, Isabella.	true
event_feed_strings_text_description_event_wh_dlc05_vmp_red_duke_LL_unlocked	With Moussilon being defeated, The Legendary Blood Knight of the West, The Red Duke, is offering his services to his brethren in a bid to retake his lands.	true
event_feed_strings_text_description_event_wh_main_dwf_thorgrim_grudgebearer_LL_unlocked	With the Dwarfs being defeated, Legendary High King Thorgrim Grudgebearer will join his brethren elsewhere to avenge every single entry contained in Dammaz Kron - the Great Book of Grudges!	true
event_feed_strings_text_description_event_wh_main_dwf_ungrim_ironfist_LL_unlocked	With Karak Kadrin being defeated, the Legendary Slayer King, Ungrim Ironfist will join his brethren elsewhere, no longer burdened with the conflicting obligations of King and Slayer, but only Slayer. Until he one day retakes his ancestral home.	true
event_feed_strings_text_description_event_wh_dlc06_dwf_belegar_LL_unlocked	With Clan Angrund being defeated, the Legendary True King of Karak Eight Peaks, Belegar Ironhammer has joined his brethren elsewhere in the hopes of retaking the lost hold of Karak Eight Peaks.	true
event_feed_strings_text_description_event_wh_pro01_dwf_grombrindal_LL_unlocked	With the Dwarfs being defeated, the Legendary White Dwarf, Grombrindal is looking to join his brethren elsewhere and offer his services. Khazukan-Kazakit-Ha!	true
event_feed_strings_text_description_event_wh_dlc06_grn_skarsnik_LL_unlocked	With the Crooked Moon being defeated, the Legendary King under the mountain, Lord Skarsnik is King no more! He has been asked by other greenskins to join them. You must be honoured, he chose you!	true
event_feed_strings_text_description_event_wh_main_grn_azhag_the_slaughterer_LL_unlocked	With the Greenskins being defeated, Legendary Lord Azhag the Slaughterer, the most infamous of all Orcish Warlords is looking to join other greenskin factions and continue his mighty waaaaagh!	true
event_feed_strings_text_description_event_wh_main_grn_grimgor_ironhide_LL_unlocked	With the Greenskins being defeated, the Legendary and greatest Black Orc Warlord to have ever lived, Grimgor Ironhide, also known as Once and Future Git will join your greenskin faction to continue fighting!	true
event_feed_strings_text_description_event_wh_dlc06_grn_wurrzag_da_great_prophet_LL_unlocked	With the Bloody Handz being defeated, Legendary Savage ORc Shaman Wurrzag Ud Ura Zahubu, also known as Da Great Green Prophet, is offering his mighty mystical power to you!	true
event_feed_strings_text_description_event_wh2_dlc09_tmb_arkhan_LL_unlocked	With The Followers of Nagash being defeated, the Legendary Arkhan the Black, known as the Liche King has been forced to serve you. While he is not happy with this, it is this or his destruction, oh great Tomb Lord. Use him well!	true
event_feed_strings_text_description_event_wh2_dlc09_tmb_khalida_LL_unlocked	With the Court of Lybaras being defeated, the Legendary Warrior-Queen, High Queen Khalida Neferher has sworn to serve the remaining Tomb Kings and hope to bring honour and justice to all of Nehekhara.	true
event_feed_strings_text_description_event_wh2_dlc09_tmb_khatep_LL_unlocked	With the Exiles of Nehek being defeated, the Legendary Liche Lord, Grand Hierophant Khatep has joined your service and swears to serve as he served before by using the Mortuary Cult.	true
event_feed_strings_text_description_event_wh2_dlc09_tmb_settra_LL_unlocked	With Khemri being defeated, the Legendary King of Kings and High King of Nehekhara, Settra the Imperishable has joined you. Be cautious, however.. Settra is a cruel being who only wishes to rule, not be ruled.	true
event_feed_strings_text_description_event_wh_main_brt_louen_leoncouer_LL_unlocked	With Bretonnia being defeated, the Legendary Lion of Bretonnia, King Louen Leoncoeur has joined his fellow Bretonnians to serve his homelands, even if not as a ruler.	true
event_feed_strings_text_description_event_wh_dlc07_brt_alberic_LL_unlocked	With Bordeleaux being defeated, Legendary Duke Alberic de Bordeleaux has joined his fellow Bretonnian countrymen to continue facing down the forces of evil wherever they may be found in the name of his patron-god Manann and the Lady of the Lake, hopefully shoulder by shoulder with King Louen!	true
event_feed_strings_text_description_event_wh_dlc07_brt_fay_enchantress_LL_unlocked	With Carcassonne being defeated, the Legendary Lady of the Lake, Morgiana Le Fay or The Fay Enchantress will support other Bretonnian factions to continue their fight against evil.	true
event_feed_strings_text_description_event_wh2_main_hef_teclis_LL_unlocked	With the Order of Loremasters being defeated, Legendary High Loremaster of Hoeth and Warden of the White Tower, Teclis has joined his brethren elsewhere to continue his work.	true
event_feed_strings_text_description_event_wh2_main_hef_tyrion_LL_unlocked	With Lothern being defeated, the Legendary Prince Tyrion, Heir of Aenarion and the Defender of Ulthuan will join his brethren elsewhere to continue to fight for all of Ulthuan!	true
event_feed_strings_text_description_event_wh2_dlc10_hef_alarielle_LL_unlocked	With Avelorn being defeated, Legendary Everqueen, Alarielle the Radiant has joined her brethren of Ulthuan to unite their lands for their race. She will surely guide us onwards.	true
event_feed_strings_text_description_event_wh2_dlc10_hef_alith_anar_LL_unlocked	With Nagarythe being defeated, Legendary Prince of Nargarythe and the Shadow King Alith Anar is offering his services to the other Asur, intend on making those who defeated him suffer!	true
event_feed_strings_text_description_event_wh2_dlc11_def_lokhir_LL_unlocked	With The Blessed Dread being defeated, Legendary Krakenlord, Lokhir Fellheart has joined his Druchii brethren, ready to raid the coasts of their enemies!	true
event_feed_strings_text_description_event_wh2_main_def_malekith_LL_unlocked	With Naggarond being defeated, Legendary Witch King of Naggaroth, Malekith has joined you, even if you would not let him lead the Druchii as he had before. All he cares for is the demise of the Asur.	true
event_feed_strings_text_description_event_wh2_main_def_morathi_LL_unlocked	With the Cult of Pleasure being defeated, Legendary Morathi the Hag Sorceress of Ghrond and First of the Hag Queens, has offered her magical powers to the other Druchii factions.	true
event_feed_strings_text_description_event_wh_main_vmp_heinrich_kemmler_LL_unlocked	With The Barrow Legion being defeated,the Legendary self-styled Lichemaster Heinrich Kemmler is willing to work with other Vampires, despite his reluctance and strong words for Nagash.	true
event_feed_strings_text_title_event_wh2_dlc10_def_crone_hellebron_LL_unlocked	Crone Hellebron	true
event_feed_strings_text_description_event_wh2_dlc10_def_crone_hellebron_LL_unlocked	With Har Ganeth being defeated, Legendary Crone Hellebron the Blood Queen of Har Ganeth has offered her services to her fellow Druchii factions. Use her wisely!	true
event_feed_strings_text_title_event_wh2_main_lzd_lord_mazdamundi_LL_unlocked	Lord Mazdamundi	true
event_feed_strings_text_description_event_wh2_main_lzd_lord_mazdamundi_LL_unlocked	With Hexoatl being defeated, Legendary Mazdamundi, Lord of the Solar-City has joined his fellow Lizardmen in an effort to do the Old Ones' bidding and fulfill the great plan.	true
event_feed_strings_text_title_event_wh2_main_lzd_kroq_gar_LL_unlocked	Kroq-Gar	true
event_feed_strings_text_description_event_wh2_main_lzd_kroq_gar_LL_unlocked	With the Last Defenders being defeated, Legendary Kroq-Gar, the Last Defender of Xhotl has offered himself and Grymloq, his mighty Carnosaur mount, to his fellow Lizardmen!\\n	true
event_feed_strings_text_title_event_wh2_main_skv_lord_skrolk_LL_unlocked	Lord Skrolk	true
event_feed_strings_text_description_event_wh2_main_skv_lord_skrolk_LL_unlocked	With Clan Pestilens being defeated, Legendary Plaguelord Skrolk is offering his corruption and magic to other Skaven clans, for the Great Horned Rat!	true
event_feed_strings_text_title_event_wh2_dlc09_skv_tretch_craventail_LL_unlocked	Tretch Craventail	true
event_feed_strings_text_description_event_wh2_dlc09_skv_tretch_craventail_LL_unlocked	With Clan Rictus being defeated, Legendary Chieftain of Clan Rictus, Tretch Craventail is offering his luck and dirty fighting to other Clans-- anything to save his pathetic life!	true
event_feed_strings_text_title_event_wh2_main_skv_queek_headtaker_LL_unlocked	Queek Headtaker	true
event_feed_strings_text_description_event_wh2_main_skv_queek_headtaker_LL_unlocked	With Clan Mors being defeated, Legendary Lord of the City of Pillars, Great Warlord of Clan Mors, Queek Headtaker offering his services to other Clans. With the death of Warlock Gnawdwell he no longer has a reason to stay with Clan Mors!	true
event_feed_strings_text_title_event_wh_dlc05_wef_durthu_LL_unlocked	Durthu	true
event_feed_strings_text_description_event_wh_dlc05_wef_durthu_LL_unlocked	With Argwylon being defeated, Legendary Durthu or Oakheart is willing to forgive the Elves he had grown to dislike and has sworn to join them to stop any who would threaten Athel Loren and all who live there.	true
event_feed_strings_text_title_event_wh_dlc05_wef_orion_LL_unlocked	Orion	true
event_feed_strings_text_description_event_wh_dlc05_wef_orion_LL_unlocked	With the Wood Elves being defeated, Legendary King in the Woods or the Master of the Wild Hunt, Orion has joined the other inhabitants of Athel Loren and has sworn to serve them to keep it safe!	true
event_feed_strings_text_title_event_wh_dlc08_nor_throgg_LL_unlocked	Throgg	true
event_feed_strings_text_description_event_wh_dlc08_nor_throgg_LL_unlocked	With Wintertooth being defeated, Legendary Throgg, King of the Trolls has decided to join other Norsca. While his dreams of a permanent ice age are gone, he will still bring the cold where he can!	true
event_feed_strings_text_title_event_wh_dlc08_nor_wulfrik_LL_unlocked	Wulfrik the Wanderer	true
event_feed_strings_text_description_event_wh_dlc08_nor_wulfrik_LL_unlocked	With Norsca being defeated, Legendary Wulfrik the Wanderer, known also as the Eternal Challenger, the Inescapable One and the World Walker has joined Wintertooth, offering his services to the King of the Trolls himself!!	true
event_feed_strings_text_title_event_wh2_dlc12_lzd_tehenhauin_LL_unlocked	Tehenhauin	true
event_feed_strings_text_description_event_wh2_dlc12_lzd_tehenhauin_LL_unlocked	With The Prophets of Sotek defeated, Legendary Lord Tehenhauin, first and greatest of the Prophets of the Serpent God Sotek, has offered his services to you and your service to the Old Ones. May the skink priest aid you in your sacrifices and destroy all those who oppose you, greatest of lizard lords!	true
event_feed_strings_text_title_event_wh2_dlc12_lzd_tiktaqto_LL_unlocked	Tiktaq'to	true
event_feed_strings_text_description_event_wh2_dlc12_lzd_tiktaqto_LL_unlocked	With Tlaqua being defeated, Legendary Tiktaq'to, the Eye in the Heavens and Master of Skies has offered his services to the other factions that serve the Old Ones. May he rain terror from the skies upon your enemies!	true
event_feed_strings_text_title_event_wh2_dlc12_skv_ikit_claw_LL_unlocked	Ikit Claw	true
event_feed_strings_text_description_event_wh2_dlc12_skv_ikit_claw_LL_unlocked	With Clan Skyre being defeated, Legendary Ikit Claw- the Chief Warlock Engineer of Clan Skyre has offered his services to you. May his wicked machines bring glory to the rightful clan that is ours, yes-yes! For the Horned Rat!	true
event_feed_strings_text_title_event_wh2_main_hef_prince_alastar_LL_unlocked	Alastar the Wild Lion	true
event_feed_strings_text_description_event_wh2_main_hef_prince_alastar_LL_unlocked	With Lothern being defeated, Legendary Alastar the White Lion has offered his services for all of Ulthuan. A member of the white lions, Alastar will shine in his lion cloak and lead the assault on all forces threatening his kin!	true
event_feed_strings_text_title_event_wh_dlc03_bst_khazrak_LL_unlocked	Khazrak the One-Eye	true
event_feed_strings_text_description_event_wh_dlc03_bst_khazrak_LL_unlocked	Khazrak the One-Eye, the eternal enemy of Middenland and Middenheim and one of the most legendary Beastmen Beastlords in recent history has become available to you, oh mighty Lord! With his unique and adept ability to control and harness the unruly spirit of the herd and devise simple but effective battle plans he will surely win battles for you!	true
event_feed_strings_text_title_event_wh_dlc03_bst_malagor_LL_unlocked	Malagor the Dark Omen	true
