key	text	tooltip
#Loc;1;text/db/sm0_recruit_defeated_ll_cataph.loc		
event_feed_strings_text_title_event_kraka_cromson_LL_unlocked	Thorgard Cromson	true
event_feed_strings_text_description_event_kraka_cromson_LL_unlocked		true
event_feed_strings_text_title_event_teb_borgio_the_besieger_LL_unlocked	Borgio the Besieger	true
event_feed_strings_text_description_event_teb_borgio_the_besieger_LL_unlocked		true
event_feed_strings_text_title_event_teb_catrazza_LL_unlocked	Leonardo Catrazza	true
event_feed_strings_text_description_event_teb_catrazza_LL_unlocked		true
event_feed_strings_text_title_event_teb_lucrezzia_belladonna_LL_unlocked	Lucrezzia Belladonna	true
event_feed_strings_text_description_event_teb_lucrezzia_belladonna_LL_unlocked		true
event_feed_strings_text_title_event_teb_gashnag_LL_unlocked	Gashnag	true
event_feed_strings_text_description_event_teb_gashnag_LL_unlocked		true
event_feed_strings_text_title_event_teb_gausser_LL_unlocked	Valmir Gausser	true
event_feed_strings_text_description_event_teb_gausser_LL_unlocked		true
event_feed_strings_text_title_event_teb_lupio_LL_unlocked	Lupio Sunscryer	true
event_feed_strings_text_description_event_teb_lupio_LL_unlocked		true
event_feed_strings_text_title_event_teb_cadavo_LL_unlocked	El Cadavo	true
event_feed_strings_text_description_event_teb_cadavo_LL_unlocked		true
event_feed_strings_text_title_event_teb_colombo_LL_unlocked	Marco Colombo	true
event_feed_strings_text_description_event_teb_colombo_LL_unlocked		true
event_feed_strings_text_title_event_AK_aislinn_LL_unlocked	Aislinn	true
event_feed_strings_text_description_event_AK_aislinn_LL_unlocked		true
