key	text	tooltip
#Loc PackedFile;1;text/db/sm0_recruit_defeated_ll_mixu_2.loc		
event_feed_strings_text_title_event_brt_john_tyreweld_LL_unlocked	Sir John Tyreweld	true
event_feed_strings_text_title_event_def_tullaris_dreadbringer_LL_unlocked	Tullaris Dreadbringer	true
event_feed_strings_text_title_event_grn_gorfang_rotgut_LL_unlocked	Gorfang Rotgut	true
event_feed_strings_text_title_event_hef_belannaer_LL_unlocked	Belannaer the Wise	true
event_feed_strings_text_title_event_hef_korhil_LL_unlocked	Korhil	true
event_feed_strings_text_title_event_hef_prince_imrik_LL_unlocked	Prince Imrik	true
event_feed_strings_text_title_event_lzd_gor_rok_LL_unlocked	Gor-Rok	true
event_feed_strings_text_title_event_lzd_lord_huinitenuchli_LL_unlocked	Lord Huinitenuchli	true
event_feed_strings_text_title_event_lzd_oxyotl_LL_unlocked	Oxyotl	true
event_feed_strings_text_title_event_lzd_tetto_eko_LL_unlocked	Tetto�eko	true
event_feed_strings_text_title_event_nor_egil_styrbjorn_LL_unlocked	Egil Styrbjorn	true
event_feed_strings_text_title_event_tmb_tutankhanut_LL_unlocked	King Tutankhanut	true
event_feed_strings_text_title_event_wef_naieth_the_prophetess_LL_unlocked	Naieth the Prophetess	true
event_feed_strings_text_description_event_brt_john_tyreweld_LL_unlocked	With the Knights of Origo being defeated, The Legendary Sir John Tyreweld wants to join your cause!	true
event_feed_strings_text_description_event_def_tullaris_dreadbringer_LL_unlocked	With the Scourge of Khaine being defeated, Tullaris Dreadbringer, Legendary Chosen of Khaine, Captain of the Har Ganeth Executioners and one of the most murderous war-leaders in the world wants to join you. For Chaos!	true
event_feed_strings_text_description_event_grn_gorfang_rotgut_LL_unlocked	With Red Fang being defeated, Legendary King Gorfang Rotgut of Black Crag, also known as the Troll-Eater wants to join you!	true
event_feed_strings_text_description_event_hef_belannaer_LL_unlocked	With Saphery being defeated, Belannaer the Wise, Legendary second greatest Archmage of Saphery to High Loremaster Teclis himself wants to join your cause.	true
event_feed_strings_text_description_event_hef_korhil_LL_unlocked	With Chrace being defeated, Korhil, Captain of the White Lions and the leader of the White Lions honour guard and the personal and trusted bodyguard of Phoenix King Finubar the Seafarer, has sworn to join you to continue the fight.	true
event_feed_strings_text_description_event_hef_prince_imrik_LL_unlocked	With Caledor being defeated, Prince Imrik, ruler of the Kingdom of Caledor and one of the last of the line of Phoenix King Caledor the Conqueror wants to join your cause and fight evil.	true
event_feed_strings_text_description_event_lzd_gor_rok_LL_unlocked	With Itza being defeated, Gor-Rok, the Great White Lizard will offer up his overwhelming might and supreme endurance, and join other Lizardmen to fight for The Old Ones.	true
event_feed_strings_text_description_event_lzd_lord_huinitenuchli_LL_unlocked	With Xlanhuapec being defeated, Lord Huinitenuchli, eldest of Xlanhuapec has offered his wisdom to you!	true
event_feed_strings_text_description_event_lzd_oxyotl_LL_unlocked	With Albion being defeated, Oxyotl, known as "He That Hunts Unseen", The Legendary and much-feared Chameleon Skink who was at one time, the last and greatest Chameleon Hunter within the jungle-continent of Lustria, an ancient being who was alive when Chaos first came to this very world has offered to continue the fight, offering you his services.	true
event_feed_strings_text_description_event_lzd_tetto_eko_LL_unlocked	With Tlaxtlan being defeated, Tetto'eko, Astronomer of the Constellations, Legendary Chief Astronomer  of Tlaxtlan wants to offer his wisdom to your cause.	true
event_feed_strings_text_description_event_nor_egil_styrbjorn_LL_unlocked	With Skaeling being defeated, Egil Styrbjorn of the Skaelings, known also as the Slayer of Souls and the Butcher of Immortals wants to join your cause and continue to wreak havoc. FOR CHAOS!	true
event_feed_strings_text_description_event_tmb_tutankhanut_LL_unlocked	With Numas being defeated, King Tutankhanut wants to join your cause and fight for a united land. For Nehekhara!	true
event_feed_strings_text_description_event_wef_naieth_the_prophetess_LL_unlocked	With Wydrioth being defeated, Naieth the Prophetess has offered her services and wisdom to you, to protect the forests of Athel Loren.	true
event_feed_strings_text_title_event_bst_ghorros_warhoof_LL_unlocked	Ghorros Warhoof	true
