key	text	tooltip
#Loc PackedFile;1;text/db/sm0_recruit_defeated_ll_speshul.loc		
event_feed_strings_text_title_event_spcha_grn_borgut_facebeater_LL_unlocked	Borgut Facebeater	true
event_feed_strings_text_description_event_spcha_grn_borgut_facebeater_LL_unlocked		true
event_feed_strings_text_title_event_spcha_grn_grokka_goreaxe_LL_unlocked	Grokka Goreaxe	true
event_feed_strings_text_description_event_spcha_grn_grokka_goreaxe_LL_unlocked		true
event_feed_strings_text_title_event_spcha_grn_tinitt_foureyes_LL_unlocked	Tinitt Four-Eyes	true
event_feed_strings_text_description_event_spcha_grn_tinitt_foureyes_LL_unlocked		true
event_feed_strings_text_title_event_spcha_grn_grak_beastbasha_LL_unlocked	Grak Beastbasha	true
event_feed_strings_text_description_event_spcha_grn_grak_beastbasha_LL_unlocked		true
event_feed_strings_text_title_event_spcha_grn_duffskul_LL_unlocked	Duffskul 	true
event_feed_strings_text_description_event_spcha_grn_duffskul_LL_unlocked		true
event_feed_strings_text_title_event_spcha_grn_snagla_grobspit_LL_unlocked	Snagla Grobspit	true
event_feed_strings_text_description_event_spcha_grn_snagla_grobspit_LL_unlocked		true
