key	text	tooltip
#Loc PackedFile;1;text/db/sm0_recruit_defeated_ll_wsf.loc		
event_feed_strings_text_title_event_genevieve_LL_unlocked	Genevieve Dieudonnè	true
event_feed_strings_text_description_event_genevieve_LL_unlocked		true
event_feed_strings_text_title_event_helsnicht_LL_unlocked	Dieter Helsnicht	true
event_feed_strings_text_description_event_helsnicht_LL_unlocked		true
event_feed_strings_text_title_event_zacharias_LL_unlocked	Zacharias the Everliving	true
event_feed_strings_text_description_event_zacharias_LL_unlocked		true
event_feed_strings_text_title_event_konrad_LL_unlocked	Konrad von Carstein 	true
event_feed_strings_text_description_event_konrad_LL_unlocked		true
event_feed_strings_text_title_event_mallobaude_LL_unlocked	Mallobaude, the Black Serpent	true
event_feed_strings_text_description_event_mallobaude_LL_unlocked		true
event_feed_strings_text_title_event_abhorash_LL_unlocked	Abhorash	true
event_feed_strings_text_description_event_abhorash_LL_unlocked		true
event_feed_strings_text_title_event_vmp_walach_harkon_hero_LL_unlocked	Walach Harkon	true
event_feed_strings_text_description_event_vmp_walach_harkon_hero_LL_unlocked		true
event_feed_strings_text_title_event_tib_kael_LL_unlocked	Sir Tiberius Kael	true
event_feed_strings_text_description_event_tib_kaelp_LL_unlocked		true
event_feed_strings_text_title_event_ushoran_LL_unlocked	Ushoran	true
event_feed_strings_text_description_event_ushoran_LL_unlocked		true
event_feed_strings_text_title_event_vorag_LL_unlocked	Vorag Bloodytooth	true
event_feed_strings_text_description_event_vorag_LL_unlocked		true
event_feed_strings_text_title_event_str_high_priest_LL_unlocked	The High Priest	true
event_feed_strings_text_description_event_str_high_priest_LL_unlocked		true
event_feed_strings_text_title_event_nanosh_LL_unlocked	Nanosh	true
event_feed_strings_text_description_event_nanosh_LL_unlocked		true
