key	text	tooltip
#Loc;1;text/db/sm0_recruit_defeated_cdir_events_dilemma_choice_details__.loc		
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_1FIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_1SECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_1THIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_1FOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_1FIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_1SECOND	Chase them away and they will join a rival faction and you might meet again... on the fields of battle.	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_1THIRD	Put them out of their misery!	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_1FOURTH	This is not the time. Delay your decision for 25 turns.	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_wh2_dlc11_sc_cst_vampire_coast_1FIRST	Accept refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_wh2_dlc11_sc_cst_vampire_coast_1SECOND	Reject refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_wh2_dlc11_sc_cst_vampire_coast_1THIRD	Kill refugees	true
cdir_events_dilemma_choice_details_localised_choice_label_sm0_rd_wh2_dlc11_sc_cst_vampire_coast_1FOURTH	Delay your decision	true
cdir_events_dilemma_choice_details_localised_choice_title_sm0_rd_wh2_dlc11_sc_cst_vampire_coast_1FIRST	All immortal lords and heroes will join your cause. But in turn you will discover the very factions that lead to their demise.	true
