id	choice_key	dilemma_key	payload_key	value	target_key
#cdir_events_dilemma_payloads_tables;0;db/cdir_events_dilemma_payloads_tables/sm0_rd					
195501	FIRST	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195502	FIRST	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195503	SECOND	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195504	THIRD	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195505	FOURTH	sm0_rd_wh2_dlc09_sc_tmb_tomb_kings_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195506	FIRST	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195507	FIRST	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195508	SECOND	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195509	THIRD	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195510	FOURTH	sm0_rd_wh2_dlc11_sc_cst_vampire_coast_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195511	FIRST	sm0_rd_wh2_main_rogue_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195512	FIRST	sm0_rd_wh2_main_rogue_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195513	SECOND	sm0_rd_wh2_main_rogue_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195514	THIRD	sm0_rd_wh2_main_rogue_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195515	FOURTH	sm0_rd_wh2_main_rogue_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195516	FIRST	sm0_rd_wh2_main_rogue_chaos_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195517	FIRST	sm0_rd_wh2_main_rogue_chaos_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195518	SECOND	sm0_rd_wh2_main_rogue_chaos_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195519	THIRD	sm0_rd_wh2_main_rogue_chaos_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
195520	FOURTH	sm0_rd_wh2_main_rogue_chaos_1	TEXT_DISPLAY	LOOKUP[rd_fourth]	default
195521	FIRST	sm0_rd_wh2_main_sc_def_dark_elves_1	TEXT_DISPLAY	LOOKUP[rd_first]	default
195522	FIRST	sm0_rd_wh2_main_sc_def_dark_elves_1	TEXT_DISPLAY	LOOKUP[rd_first2]	default
195523	SECOND	sm0_rd_wh2_main_sc_def_dark_elves_1	TEXT_DISPLAY	LOOKUP[rd_second]	default
195524	THIRD	sm0_rd_wh2_main_sc_def_dark_elves_1	TEXT_DISPLAY	LOOKUP[rd_third]	default
