key	type	applies_to	transferrable	unique_to_world	unique_to_faction	precedence	start_date	end_date	avatar_skill	avatar_special_ability	legendary_item	mp_exclusive	is_wife_ancillary	category	min_starting_age	max_starting_age	min_expiry_age	max_expiry_age	immortal	provided_bodyguard_unit	provided_banner	uniqueness_score	turns_before_swap_allowed	subcategory	randomly_dropped	can_be_stolen	can_be_destroyed	faction_set
#ancillaries_tables;0;db/ancillaries_tables/zzz_sm0_rd_cross_faction																												
wh2_dlc09_anc_arcane_item_staff_of_nagash	wh_main_anc_arcane_item	.	false	false	false	1	0	9999			false	false	false	arcane_item	16	30	30	50	true			200	0		false	false	false	all
wh2_dlc09_anc_arcane_item_the_liche_staff	wh_main_anc_arcane_item	.	false	false	false	1	0	9999			false	false	false	arcane_item	16	30	30	50	true			200	0		false	false	false	all
wh2_dlc09_anc_armour_scorpion_armour	wh_main_anc_armour	.	true	false	false	1	0	9999			false	false	false	armour	16	30	30	50	true			200	0		false	false	false	all
wh2_dlc09_anc_enchanted_item_lucky_skullhelm	wh_main_anc_enchanted_item	.	false	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			200	0		false	false	false	all
wh2_dlc09_anc_enchanted_item_the_crown_of_nehekhara	wh_main_anc_enchanted_item	.	false	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			200	0		false	false	false	all
wh2_dlc09_anc_enchanted_item_vambraces_of_the_sun	wh_main_anc_enchanted_item	.	true	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			200	0		false	false	false	all
wh2_dlc09_anc_follower_tmb_herald_of_djaf	wh2_dlc09_anc_tmb_herald	.	true	false	false	1	0	9999			false	false	false	general	1	1	50	75	true			1	0	follower	false	false	false	all
wh2_dlc09_anc_follower_tmb_herald_of_khemri	wh2_dlc09_anc_tmb_herald	.	true	false	false	1	0	9999			false	false	false	general	1	1	50	75	true			1	0	follower	false	false	false	all
wh2_dlc09_anc_follower_tmb_herald_of_mahrak	wh2_dlc09_anc_tmb_herald	.	true	false	false	1	0	9999			false	false	false	general	1	1	50	75	true			1	0	follower	false	false	false	all
wh2_dlc09_anc_follower_tmb_herald_of_raestra	wh2_dlc09_anc_tmb_herald	.	true	false	false	1	0	9999			false	false	false	general	1	1	50	75	true			1	0	follower	false	false	false	all
wh2_dlc09_anc_follower_tmb_herald_of_scorpion	wh2_dlc09_anc_tmb_herald	.	true	false	false	1	0	9999			false	false	false	general	1	1	50	75	true			1	0	follower	false	false	false	all
wh2_dlc09_anc_follower_tmb_herald_of_sphinx	wh2_dlc09_anc_tmb_herald	.	true	false	false	1	0	9999			false	false	false	general	1	1	50	75	true			1	0	follower	false	false	false	all
wh2_dlc09_anc_follower_tmb_herald_of_zandri	wh2_dlc09_anc_tmb_herald	.	true	false	false	1	0	9999			false	false	false	general	1	1	50	75	true			1	0	follower	false	false	false	all
wh2_dlc09_anc_talisman_amulet_of_pha_stah	wh_main_anc_talisman	.	true	false	false	1	0	9999			false	false	false	talisman	16	30	30	50	true			200	0		false	false	false	all
wh2_dlc09_anc_weapon_crook_and_flail_of_radiance	wh_main_anc_weapon	.	true	false	false	1	0	9999			false	false	false	weapon	16	30	30	50	true			200	0		false	false	false	all
wh2_dlc09_anc_weapon_the_blessed_blade_of_ptra	wh_main_anc_weapon	.	false	false	false	1	0	9999			false	false	false	weapon	16	30	30	50	true			200	0		false	false	false	all
wh2_dlc09_anc_weapon_the_tomb_blade_of_arkhan	wh_main_anc_weapon	.	false	false	false	1	0	9999			false	false	false	weapon	16	30	30	50	true			200	0		false	false	false	all
wh2_dlc09_anc_weapon_the_venom_staff	wh_main_anc_weapon	.	false	false	false	1	0	9999			false	false	false	weapon	16	30	30	50	true			200	0		false	false	false	all
wh2_dlc10_anc_arcane_item_stave_of_avelorn	wh_main_anc_arcane_item	.	false	false	false	1	0	9999			false	false	false	arcane_item	16	30	30	50	true			200	0		false	false	false	all
wh2_dlc10_anc_enchanted_item_burning_phoenix_pinion	wh_main_anc_enchanted_item	.	true	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			200	0		false	false	false	all
wh2_dlc10_anc_enchanted_item_star_of_avelorn	wh_main_anc_enchanted_item	.	false	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			200	0		false	false	false	all
wh2_dlc10_anc_enchanted_item_the_shadow_crown	wh_main_anc_enchanted_item	.	false	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			200	0		false	false	false	all
wh2_dlc10_anc_magic_standard_banner_of_avelorn	wh2_dlc10_anc_magic_standard_banner_of_avelorn	.	true	false	false	1	0	9999			false	false	false	general	16	30	30	50	true		wh2_dlc10_banner_magic_standard_banner_of_avelorn	200	0	banner	false	false	false	all
wh2_dlc10_anc_mount_def_crone_cauldron_of_blood	wh2_main_anc_mount_cauldron_of_blood	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc10_def_cha_crone_4		1	0		false	false	false	all
wh2_dlc10_anc_mount_def_crone_dark_steed	wh2_main_anc_mount_dark_steed	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc10_def_cha_crone_1		1	0		false	false	false	all
wh2_dlc10_anc_mount_def_crone_manticore	wh_main_anc_mount_manticore	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc10_def_cha_crone_5		1	0		false	false	false	all
wh2_dlc10_anc_mount_def_sorceress_beasts_cold_one	wh2_main_anc_mount_cold_one	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	wh2_dlc10_def_cha_sorceress_beasts_2		1	0		false	false	false	all
