key	text	tooltip
#Loc;1;text/db/sm0_recruit_defeated_ll_parte.loc		
event_feed_strings_text_title_event_def_rakarth_LL_unlocked	Rakarth the Beast Lord	true
event_feed_strings_text_description_event_def_rakarth_LL_unlocked		true
event_feed_strings_text_title_event_def_hag_queen_malida_LL_unlocked	Hag Queen Malida	true
event_feed_strings_text_description_event_def_hag_queen_malida_LL_unlocked		true
event_feed_strings_text_title_event_skv_skweel_gnawtooth_LL_unlocked	Skweel Gnawtooth	true
event_feed_strings_text_description_event_skv_skweel_gnawtooth_LL_unlocked		true
event_feed_strings_text_title_event_hef_aislinn_LL_unlocked	Sea Lord Aislinn	true
event_feed_strings_text_description_event_hef_aislinn_LL_unlocked		true
event_feed_strings_text_title_event_grn_gorbad_ironclaw_LL_unlocked	Gorbad Ironclaw	true
event_feed_strings_text_description_event_grn_gorbad_ironclaw_LL_unlocked		true
event_feed_strings_text_title_event_dwf_rorek_granitehand_LL_unlocked	Rorek Granitehand	true
event_feed_strings_text_description_event_dwf_rorek_granitehand_LL_unlocked		true
event_feed_strings_text_title_event_dwf_alrik_ranulfsson_LL_unlocked	Alrik Ranulfsson	true
event_feed_strings_text_description_event_dwf_alrik_ranulfsson_LL_unlocked		true
event_feed_strings_text_title_event_dwf_byrrnoth_grundadrakk_LL_unlocked	Byrrnoth Grundadrakk	true
event_feed_strings_text_description_event_dwf_byrrnoth_grundadrakk_LL_unlocked		true
